author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Москва и МО;sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
Перспектива;developer;https://krym.cian.ru/sale/flat/305496510/;Москва и МО;sale;flat;2;8;1;70.3;16000000;Восход пгт; Наташинская;2Ж;;Монако
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303534103/;Москва и МО;sale;flat;16;25;1;34.0;9700000;;;7;Ольховая;
СК10;developer;https://rostov.cian.ru/sale/flat/303045403/;Москва и МО;sale;flat;24;25;1;33.37;4110000;Советский;;;;Малина парк
ID 148596;homeowner;https://www.cian.ru/sale/flat/268629674/;Москва и МО;sale;flat;10;10;1;38.5;11280000;Выхино-Жулебино;Жулебинский бульвар;6/11;Лермонтовский проспект;
РКС Девелопмент;developer;https://krasnodar.cian.ru/sale/flat/308252390/;Москва и МО;sale;flat;2;7;1;41.7;10491720;;;;;Anapolis Residence
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/307496200/;Москва и МО;sale;flat;1;10;1;31.0;14500000;Раменки;Мичуринский проспект;10К1;Ломоносовский проспект;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/306297927/;Москва и МО;sale;flat;3;18;1;34.1;5901000;Верх-Исетский;;;Площадь 1905 года;Русь XXI ЖК
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва и МО;sale;flat;4;6;1;59.35;101785250;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
СЗ Феникс;developer;https://rostov.cian.ru/sale/flat/293615913/;Москва и МО;sale;flat;4;13;1;47.1;8379202;Советский;;;;Таймс ЖК
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/302630222/;Москва и МО;sale;flat;25;45;1;64.0;40999999;Дорогомилово;Кутузовский проезд;16А/1;Шелепиха;River Park Кутузовский
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/306899926/;Москва и МО;sale;flat;14;23;1;34.0;4893000;Кировский;;;Машиностроителей;Основинские кварталы ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679592/;Москва и МО;sale;flat;7;20;1;43.09;20252300;Даниловский;Автозаводская ;26;Тульская;FORST
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/302623378/;Москва и МО;sale;flat;2;29;1;34.6;8557000;Центр; Свердлова;12;Динамо;Екатерининский парк
Павел Михайлов;realtor;https://www.cian.ru/sale/flat/308082096/;Москва и МО;sale;flat;12;16;1;44.0;26296000;Раменки;проспект Генерала Дорохова;39к2Л;Минская;Собрание клубных домов West Garden
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308837547/;Москва и МО;sale;flat;5;10;1;40.4;28900000;Дорогомилово;Кутузовский проспект;30;Кутузовская;
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/307262540/;Москва и МО;sale;flat;9;9;1;34.4;4700000;Приволжский; Рихарда Зорге;105;Дубравная;
Этажи Москва;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308675651/;Москва и МО;sale;flat;1;3;1;33.6;4800000;;;;;
Инвест-плюс отдел продаж;real_estate_agent;https://novosibirsk.cian.ru/sale/flat/305626417/;Москва и МО;sale;flat;4;12;1;32.2;3249000;Кировский; Петухова;164;Студенческая;Матрешкин двор
ЛЮДИ ДЛЯ ЛЮДЕЙ;real_estate_agent;https://spb.cian.ru/sale/flat/305602913/;Москва и МО;sale;flat;4;7;1;31.1;6000000;Калининский;проспект Науки;40;Академическая;
ЕкатеринодарИнвест-Строй;developer;https://krasnodar.cian.ru/sale/flat/294667073/;Москва и МО;sale;flat;2;24;1;40.58;5264038;мкр. РИП;Российская ;;;Гулливер
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307091345/;Москва и МО;sale;flat;16;17;1;35.1;16800000;Ярославский;Ярославское шоссе;51;ВДНХ;Я51
ID 10741260;unknown;https://samara.cian.ru/sale/flat/308774838/;Москва и МО;sale;flat;6;9;1;35.0;4200000;Промышленный; Стара-Загора;147;Безымянка;
ЕкатеринодарИнвест-Строй;developer;https://krasnodar.cian.ru/sale/flat/294670406/;Москва и МО;sale;flat;2;17;1;35.6;8116800;;;;;Екатерининский парк
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833375/;Москва и МО;sale;flat;15;28;1;40.0;30500000;Раменки;Винницкая ;8к3;Раменки;Настоящее
Динас;real_estate_agent;https://spb.cian.ru/sale/flat/305885696/;Москва и МО;sale;flat;6;11;1;35.0;6990000;Василеостровский;Морская набережная;9;Приморская;
СК10;developer;https://rostov.cian.ru/sale/flat/306489613/;Москва и МО;sale;flat;6;9;1;40.6;5310000;Железнодорожный;;;;Сезоны ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307505747/;Москва и МО;sale;flat;10;12;1;55.0;32500000;Тверской;2-я Брестская ;6;Маяковская;Резиденция Тверская
Mikhail Uger;realtor;https://www.cian.ru/sale/flat/304113525/;Москва и МО;sale;flat;17;25;1;36.8;9900000;Чертаново Северное;Северное Чертаново мкр;7кБ;Чертановская;
СК10;developer;https://rostov.cian.ru/sale/flat/289504809/;Москва и МО;sale;flat;24;25;1;30.41;4390000;Октябрьский;;;;Гринсайд ЖК
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/307494611/;Москва и МО;sale;flat;2;44;1;48.1;25000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Center Group;real_estate_agent;https://kazan.cian.ru/sale/flat/308328363/;Москва и МО;sale;flat;4;10;1;48.0;9200000;Советский; Зур Урам;1Кк3;Горки;МЧС
СК10;developer;https://rostov.cian.ru/sale/flat/305717857/;Москва и МО;sale;flat;21;25;1;37.39;5565839;Кировский;;;;Культура ЖК
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/306373900/;Москва и МО;sale;flat;13;30;1;93.8;28999999;Щукино;проезд 4-й Красногорский;;Стрешнево;Moments
Квадратный метр;real_estate_agent;https://spb.cian.ru/sale/flat/308648893/;Москва и МО;sale;flat;21;26;1;35.3;8500000;Невский; Дыбенко;5к1;Улица Дыбенко;Цивилизация
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298036735/;Москва и МО;sale;flat;4;24;1;40.4;10036000;Центр; Большакова;66;Геологическая;RedRock
Доступный дом;real_estate_agent;https://www.cian.ru/sale/flat/293926786/;Москва и МО;sale;flat;3;17;1;35.4;14990000;; Эдварда Грига;15;Потапово;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/304572948/;Москва и МО;sale;flat;3;14;1;39.0;9300000;Ново-Переделкино; Шолохова;2;Новопеределкино;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298038407/;Москва и МО;sale;flat;2;16;1;55.9;21462000;Центр; Февральской Революции;21;Динамо;19/05
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308931688/;Москва и МО;sale;flat;5;6;1;35.0;10100000;Адлерский;переулок Демократический;4;;
ТСН Владис;real_estate_agent;https://balashikha.cian.ru/sale/flat/303023571/;Москва и МО;sale;flat;4;5;1;30.3;3899000;;шоссе Энтузиастов;57;Салтыковская;
Садовое кольцо;developer;https://kazan.cian.ru/sale/flat/308626955/;Москва и МО;sale;flat;10;24;1;45.8;15809922;Ново-Савиновский;;;Козья слобода;Савин Фемили ЖК
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308226210/;Москва и МО;sale;flat;4;6;1;37.0;14560000;Адлерский;Веселая ;82/1;;Green Sail Park
ID 120593210;homeowner;https://kaliningrad.cian.ru/sale/flat/306128381/;Москва и МО;sale;flat;14;14;1;61.6;8300000;Ленинградский; 9 Апреля;102;;
ИНСИТИ девелопмент;developer;https://krasnodar.cian.ru/sale/flat/306996008/;Москва и МО;sale;flat;17;24;1;37.58;6159458;;;;;Микрорайон Любимово
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/247945326/;Москва и МО;sale;flat;23;26;1;37.0;10000000;Центральный;Пластунская ;123Ак2;;Раз Два Три
ID 96941193;homeowner;https://novosibirsk.cian.ru/sale/flat/308112551/;Москва и МО;sale;flat;3;10;1;34.3;4199000;Ленинский;Троллейная ;7;Площадь Маркса;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298221123/;Москва и МО;sale;flat;25;25;1;37.2;7861500;Чкаловский; 8 Марта;204Д;Чкаловская;Ботаника LIFE
Гранд Недвижимость;real_estate_agent;https://sochi.cian.ru/sale/flat/308830155/;Москва и МО;sale;flat;6;10;1;31.7;7340000;Хостинский; Мацестинская;17/1;;
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/272828990/;Москва и МО;sale;flat;6;17;1;38.0;9350000;; Авиаконструктора Петлякова;7;Пыхтино;Солнцево парк
Неометрия;developer;https://krasnodar.cian.ru/sale/flat/308339502/;Москва и МО;sale;flat;21;22;1;34.4;5105550;Прикубанский; Конгрессная;43;;Отражение
ID 13044325;unknown;https://www.cian.ru/sale/flat/308859379/;Москва и МО;sale;flat;22;32;1;37.35;17780000;Нижегородский;Газгольдерная ;10;Нижегородская;Profit
Rich Life;real_estate_agent;https://yaroslavl.cian.ru/sale/flat/305867178/;Москва и МО;sale;flat;3;10;1;36.2;2900000;Дзержинский; Панина;56;;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/303395042/;Москва и МО;sale;flat;2;25;1;30.4;6288000;Орджоникидзевский;;;Машиностроителей;Основинские кварталы ЖК
BRAUMOST;real_estate_agent;https://www.cian.ru/sale/flat/293943948/;Москва и МО;sale;flat;5;10;1;48.5;23500000;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
Виктория Грудько;realtor;https://www.cian.ru/sale/flat/308153896/;Москва и МО;sale;flat;4;8;1;33.0;12800000;Теплый Стан;Профсоюзная ;136К4;Коньково;
DOGMA;developer;https://krasnodar.cian.ru/sale/flat/305421053/;Москва и МО;sale;flat;2;18;1;38.3;5162840;;;;;Парк Победы - 2
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/304113286/;Москва и МО;sale;flat;8;10;1;28.0;10350000;Адлерский; Ленина;280А;;
Евгений Шумилов;realtor;https://spb.cian.ru/sale/flat/305907207/;Москва и МО;sale;flat;16;28;1;33.0;7199000;Выборгский;Заречная ;11к6;Парнас;Три апельсина
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298221157/;Москва и МО;sale;flat;3;9;1;55.0;18788500;Центр; Михаила Ананьева;;Динамо;Клубный дом инженера Ятеса
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307986637/;Москва и МО;sale;flat;11;14;1;35.0;13900000;Раменки;1-й Сетуньский проезд;10;Кутузовская;
ID 96167522;realtor;https://www.cian.ru/sale/flat/299789842/;Москва и МО;sale;flat;9;9;1;36.9;8850000;Люблино; Верхние Поля;27С2;Братиславская;
Средастрой Новороссийск;developer;https://novorossiysk.cian.ru/sale/flat/307130635/;Москва и МО;sale;flat;6;17;1;42.93;8800650;;;;;Золотой берег 2
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042658/;Москва и МО;sale;flat;24;79;1;72.0;70000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Антон Белов;realtor;https://www.cian.ru/sale/flat/297215041/;Москва и МО;sale;flat;13;14;1;39.0;17600000;Таганский;переулок Ковров;1;Москва-Товарная;
ПАРК АВЕНЮ;developer;https://krasnodar.cian.ru/sale/flat/307199106/;Москва и МО;sale;flat;3;6;1;33.4;4575800;Горячий Ключ; Ярославского;100В;;Ярославский
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/301916019/;Москва и МО;sale;flat;3;5;1;40.6;23900000;Центральный; Крымская;;;Livingston
Олеся Боярова;realtor;https://odintsovo.cian.ru/sale/flat/307781863/;Москва и МО;sale;flat;4;8;1;37.0;6950000;;;;;Лайково
ЭНКО;developer;https://tyumen.cian.ru/sale/flat/306667447/;Москва и МО;sale;flat;3;17;1;36.4;5470000;д. Патрушева; Лермонтова;8;;ЖР 
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307435494/;Москва и МО;sale;flat;6;17;1;43.4;19100000;Даниловский;набережная Марка Шагала;15к1;Технопарк;Shagal
SaFri;real_estate_agent;https://spb.cian.ru/sale/flat/308830127/;Москва и МО;sale;flat;8;9;1;43.7;18135500;Петроградский;Петровский проспект;24к3;Крестовский остров;Петровская ривьера
Эталон;developer;https://ekb.cian.ru/sale/flat/308413983/;Москва и МО;sale;flat;3;16;1;35.8;5634818;Чкаловский;;;Ботаническая;Жилой район Солнечный
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297952059/;Москва и МО;sale;flat;18;22;1;43.0;19200000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308849289/;Москва и МО;sale;flat;3;5;1;32.7;23960000;Замоскворечье;Новокузнецкая ;;Павелецкая;
R1 Development;developer;https://ekb.cian.ru/sale/flat/303900221/;Москва и МО;sale;flat;2;8;1;42.64;7763465;Орджоникидзевский; Уральских Рабочих;26;Проспект Космонавтов;Банников Дом
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297558153/;Москва и МО;sale;flat;18;22;1;43.0;19500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
ID 104154272;homeowner;https://nn.cian.ru/sale/flat/301079102/;Москва и МО;sale;flat;1;2;1;25.3;3099000;Автозаводский;Коломенская ;7;Парк культуры;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/307111842/;Москва и МО;sale;flat;4;19;1;31.8;8840400;Советский;;3;Горки;Светлая Долина ЖК
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308179200/;Москва и МО;sale;flat;3;6;1;47.3;18120000;Адлерский;Веселая ;82/1Б;;Green Sail Park
ХОРЕКА ИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/305693861/;Москва и МО;sale;flat;22;22;1;15.8;7890000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/304437884/;Москва и МО;sale;flat;18;19;1;30.8;5380200;Верх-Исетский;;;Площадь 1905 года;Русь-2 ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/308421883/;Москва и МО;sale;flat;9;20;1;39.74;16802072;Даниловский;Автозаводская ;26;Тульская;FORST
Флагман;real_estate_agent;https://krasnodar.cian.ru/sale/flat/307815594/;Москва и МО;sale;flat;9;16;1;39.0;5200000;Прикубанский; Летчика Позднякова;2;;Дыхание
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/299893563/;Москва и МО;sale;flat;3;9;1;39.02;17986269;Массандра пгт; Мухина;17А;;Клубный дом Массандра Парк
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308159418/;Москва и МО;sale;flat;3;6;1;52.0;20360000;Адлерский;Веселая ;82/1Б;;Green Sail Park
ID 81467774;homeowner;https://www.cian.ru/sale/flat/306073042/;Москва и МО;sale;flat;3;17;1;38.0;13700000;Свиблово;Вересковая ;1К1;Свиблово;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/301019031/;Москва и МО;sale;flat;2;17;1;35.8;8771000;Советский;ПК1-2;ПК1-2;Горки;Мой Ритм ЖК
Этажи Москва;real_estate_agent;https://balashikha.cian.ru/sale/flat/307869945/;Москва и МО;sale;flat;19;25;1;36.3;5300000;; Яганова;9;Щёлковская;Пехра
BR Group;real_estate_agent;https://spb.cian.ru/sale/flat/308144280/;Москва и МО;sale;flat;7;9;1;30.2;5200000;Кировский; Стойкости;7;Ленинский проспект;
AVA;developer;https://krasnodar.cian.ru/sale/flat/303889085/;Москва и МО;sale;flat;2;12;1;41.6;6647680;мкр. 9-й километр; Ярославская;115к2;;Небо
ТСН Владис;real_estate_agent;https://balashikha.cian.ru/sale/flat/306785132/;Москва и МО;sale;flat;3;20;1;47.3;6499999;; Чистопольская;28;Щёлковская;Эдельвейс-Комфорт
ID 19850306;homeowner;https://www.cian.ru/sale/flat/308355964/;Москва и МО;sale;flat;13;19;1;50.2;23850000;Богородское;1-я Мясниковская ;2;Белокаменная;Соколиный форт
AVA;developer;https://krasnodar.cian.ru/sale/flat/302609050/;Москва и МО;sale;flat;2;22;1;49.7;9825690;мкр. Аврора; Имени Дзержинского;95;;AVrorA
Иван Музалевский;realtor;https://balashikha.cian.ru/sale/flat/301875482/;Москва и МО;sale;flat;7;16;1;42.3;7250000;; Юбилейная;4к5;Железнодорожная;
ТСН Владис;real_estate_agent;https://korolev.cian.ru/sale/flat/307304400/;Москва и МО;sale;flat;3;5;1;31.2;4400000;;Советская ;34;Медведково;
НВМ;representative_developer;https://krasnodar.cian.ru/sale/flat/308001539/;Москва и МО;sale;flat;5;7;1;42.7;5978000;;;;;История 2
ТСН Владис;real_estate_agent;https://balashikha.cian.ru/sale/flat/304384217/;Москва и МО;sale;flat;14;17;1;45.3;7349000;; Твардовского;26;Кучино;
Гранд Хаус;real_estate_agent;https://spb.cian.ru/sale/flat/300843403/;Москва и МО;sale;flat;14;16;1;36.0;6900000;Невский; Коллонтай;19К4;Проспект Большевиков;
Первостроитель;developer;https://ekb.cian.ru/sale/flat/297114709/;Москва и МО;sale;flat;2;24;1;31.3;7936000;Кировский; Мира;47/7;Геологическая;Проспект Мира. Компаунд
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303071841/;Москва и МО;sale;flat;19;32;1;32.2;25000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
ID 563049;homeowner;https://krasnodar.cian.ru/sale/flat/308450193/;Москва и МО;sale;flat;6;25;1;36.5;3850000;мкр. Славянский; Заполярная;39к8;;
Светлый;developer;https://krym.cian.ru/sale/flat/308441444/;Москва и МО;sale;flat;3;3;1;40.9;7362000;Саки; Заводская;62;;Новый берег
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308605254/;Москва и МО;sale;flat;13;41;1;43.0;23900000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
RBI;developer;https://spb.cian.ru/sale/flat/304071206/;Москва и МО;sale;flat;4;16;1;35.5;11415384;Выборгский;Шувалово-Озерки;;Проспект Просвещения;Струны
Северная Компания;developer;https://ryazan.cian.ru/sale/flat/303065626/;Москва и МО;sale;flat;2;16;1;26.7;3650200;Московский;;;;Бирюзова Парк ЖК
Этажи Москва;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/306414696/;Москва и МО;sale;flat;6;9;1;42.2;8670000;; Алексеевская;3;Аникеевка;Опалиха Парк
Мой мир;real_estate_agent;https://omsk.cian.ru/sale/flat/308452973/;Москва и МО;sale;flat;3;9;1;36.9;3800000;мкр. 6-й; Степанца;12;;
Sea Invest;representative_developer;https://krym.cian.ru/sale/flat/305502980/;Москва и МО;sale;flat;7;8;1;38.68;11039510;;;;;Долина Роз
Солнечный Сочи;real_estate_agent;https://sochi.cian.ru/sale/flat/308223929/;Москва и МО;sale;flat;10;16;1;63.0;12500000;Центральный; Парковая;5;;
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/306693359/;Москва и МО;sale;flat;4;15;1;32.4;14000000;Хорошевский;Ходынский бульвар;20А;ЦСКА;Лайнер
Альянс;developer;https://rostov.cian.ru/sale/flat/292933861/;Москва и МО;sale;flat;4;7;1;48.74;23395200;Кировский;Социалистическая ;118;;Дом-резиденция Собрание
ID 115101461;homeowner;https://kotelniki.cian.ru/sale/flat/300523277/;Москва и МО;sale;flat;16;18;1;45.0;10550000;; Кузьминская;5к1;Котельники;Котельнические высотки
Наталья Симагина;realtor;https://spb.cian.ru/sale/flat/306602700/;Москва и МО;sale;flat;3;5;1;58.0;22900000;Центральный;Кавалергардская ;5;Чернышевская;
ФСК;developer;https://kazan.cian.ru/sale/flat/307682268/;Москва и МО;sale;flat;5;7;1;26.4;3982757;;;;;ФоРест
Ю-Питер;real_estate_agent;https://spb.cian.ru/sale/flat/293545584/;Москва и МО;sale;flat;19;23;1;36.4;8800000;Приморский;Лыжный переулок;4к3;Беговая;Геометрия
Барокко;real_estate_agent;https://spb.cian.ru/sale/flat/307310259/;Москва и МО;sale;flat;11;15;1;36.3;8200000;Приморский;Комендантский проспект;23к1;Комендантский проспект;
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/295341502/;Москва и МО;sale;flat;3;4;1;34.85;6586650;;;;;Новый свет
SPB Housing;real_estate_agent;https://spb.cian.ru/sale/flat/307659959/;Москва и МО;sale;flat;2;10;1;46.7;14477000;Приморский;Фермское шоссе;12Б;Удельная;
Дача Штейнгольца;real_estate_agent;https://krym.cian.ru/sale/flat/265824970/;Москва и МО;sale;flat;1;12;1;17.2;2990000;Партенит пгт; Прибрежная;7;;
ПИК;developer;https://vladivostok.cian.ru/sale/flat/304311878/;Москва и МО;sale;flat;2;24;1;33.9;5639434;Первореченский;;2;;Снежный парк ЖК
Ю-Питер;real_estate_agent;https://spb.cian.ru/sale/flat/306780674/;Москва и МО;sale;flat;1;25;1;30.4;7800000;Приморский;Парашютная ;65;Комендантский проспект;Шуваловский
ID 118841977;homeowner;https://voronezh.cian.ru/sale/flat/306970610/;Москва и МО;sale;flat;15;16;1;49.0;5250000;Коминтерновский; Антонова-Овсеенко;29;;
Магазин новостроек;representative_developer;https://krasnodar.cian.ru/sale/flat/302688605/;Москва и МО;sale;flat;2;4;1;34.7;3921100;;;;;ДзенПарк
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/297792239/;Москва и МО;sale;flat;14;17;1;39.0;16000000;Хостинский; Депутатская;10Дк1;;
ID 883747;unknown;https://krasnogorsk.cian.ru/sale/flat/308858112/;Москва и МО;sale;flat;5;10;1;48.8;8100000;;Строительная ;5;Павшино;
AVA;developer;https://krasnodar.cian.ru/sale/flat/302609577/;Москва и МО;sale;flat;2;16;1;40.0;5280000;;;;;Зеленодар
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307430903/;Москва и МО;sale;flat;4;15;1;53.36;13950000;; Татьянин Парк;16к1;Говорово;
ID 15065491;homeowner;https://krasnodar.cian.ru/sale/flat/307426390/;Москва и МО;sale;flat;7;14;1;48.0;5250000;мкр. Комсомольский;Сормовская ;181;;
AVA;developer;https://krasnodar.cian.ru/sale/flat/307879812/;Москва и МО;sale;flat;4;21;1;51.13;6478171;мкр. ХБК;Уральская ;100/8;;Режиссёр
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/293718260/;Москва и МО;sale;flat;5;6;1;43.0;26900000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
НДВ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/302968129/;Москва и МО;sale;flat;1;4;1;36.3;5450000;д. Аксаково; Слободская;4;;Федоскинская слобода
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/303122639/;Москва и МО;sale;flat;2;9;1;67.3;22222460;Советский;;;Суконная слобода;Мифы ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042655/;Москва и МО;sale;flat;30;79;1;78.0;92880000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
ID 120058243;homeowner;https://ramenskoye.cian.ru/sale/flat/305600116/;Москва и МО;sale;flat;4;9;1;37.7;4800000;Центральный;Бронницкая ;15;Раменское;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/298037403/;Москва и МО;sale;flat;20;25;1;31.2;4525200;; Бочкарева;;Чкаловская;Старт
Евгений Белокуров;realtor;https://www.cian.ru/sale/flat/306602662/;Москва и МО;sale;flat;4;23;1;41.8;20850000;Свиблово;Сельскохозяйственная ;38к2;Ботанический сад;LIFE-Ботанический сад
MR Group;developer;https://www.cian.ru/sale/flat/308802713/;Москва и МО;sale;flat;2;46;1;34.8;16375836;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Магазин новостроек;representative_developer;https://novorossiysk.cian.ru/sale/flat/289741720/;Москва и МО;sale;flat;2;24;1;33.8;6286800;Цемдолина тер.; Ф.Я. Бурсака;82;;Мята
ID 102818507;homeowner;https://odintsovo.cian.ru/sale/flat/301776016/;Москва и МО;sale;flat;33;33;1;44.1;8700000;Новоивановское рп;Можайское шоссе;55;;Западные Ворота Столицы
ЕОН Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/307325534/;Москва и МО;sale;flat;3;5;1;27.7;4100000;Колпинский;Павловская ;76;Шушары;
Неометрия;developer;https://sochi.cian.ru/sale/flat/308286114/;Москва и МО;sale;flat;11;17;1;21.0;9905700;Адлерский;;;;Лестория
ID 80865748;unknown;https://spb.cian.ru/sale/flat/308187046/;Москва и МО;sale;flat;6;8;1;58.3;25652000;Петроградский;проспект Малый Петроградской стороны;79-81-83;Петроградская;
